transaction_id,transaction_date,year,month,year_month,customer_id,region,category,product,quantity,unit_price,discount,sales,cost,profit,profit_margin,payment_method,sales_channel,returned
TXN-000001,2023-03-23,2023,3,2023-03,CUST-01751,West,Furniture,Bookshelf,12,150.58,0.058,1702.16,1116.41,585.75,0.3441,Upi,Store,No
TXN-000002,2024-12-06,2024,12,2024-12,CUST-00673,North,Accessories,Keyboard,7,51.25,0.1474,305.87,290.0,15.87,0.0519,Credit Card,Online,No
TXN-000003,2024-08-19,2024,8,2024-08,CUST-02494,South,Accessories,Webcam,1,72.57,0.0786,66.87,54.11,12.76,0.1908,Upi,Online,No
TXN-000004,2024-02-05,2024,2,2024-02,CUST-01524,South,Electronics,Monitor,4,263.54,0.1098,938.41,822.99,115.42,0.123,Credit Card,Store,No
TXN-000005,2024-01-30,2024,1,2024-01,CUST-01925,West,Electronics,Tablet,6,412.66,0.0674,2309.08,1562.07,747.01,0.3235,Debit Card,Online,No
TXN-000006,2025-02-22,2025,2,2025-02,CUST-00858,West,Office Supplies,Paper Pack,9,12.52,0.02,110.43,82.29,28.14,0.2548,Debit Card,Store,No
TXN-000007,2023-03-20,2023,3,2023-03,CUST-01658,East,Furniture,Conference Table,3,513.0,0.096,1391.26,1151.98,239.28,0.172,Cash,Online,Yes
TXN-000008,2024-09-27,2024,9,2024-09,CUST-01642,North,Electronics,Headphones,8,90.89,0.1508,617.47,561.88,55.59,0.09,Cash,Marketplace,No
TXN-000009,2023-07-03,2023,7,2023-07,CUST-01493,South,Electronics,Headphones,12,88.32,0.0968,957.25,804.47,152.78,0.1596,Debit Card,Online,No
TXN-000010,2023-03-27,2023,3,2023-03,CUST-01480,North,Electronics,Printer,6,196.98,0.2968,831.1,745.38,85.72,0.1031,Credit Card,Online,No
TXN-000011,2024-04-25,2024,4,2024-04,CUST-01758,West,Furniture,Office Chair,3,177.78,0.1566,449.82,404.33,45.49,0.1011,Bank Transfer,Online,No
TXN-000012,2025-06-08,2025,6,2025-06,CUST-02495,North,Electronics,Monitor,10,241.07,0.081,2215.43,1989.42,226.01,0.102,Cash,Online,No
TXN-000013,2024-11-02,2024,11,2024-11,CUST-02173,North,Office Supplies,Notebook,9,9.07,0.142,70.04,69.46,0.58,0.0083,Debit Card,Online,No
TXN-000014,2024-11-25,2024,11,2024-11,CUST-00778,East,Furniture,Cabinet,6,238.31,0.1835,1167.48,947.71,219.77,0.1882,Cash,Online,No
TXN-000015,2024-10-16,2024,10,2024-10,CUST-02223,South,Furniture,Desk,12,299.66,0.0478,3424.04,2434.18,989.86,0.2891,Debit Card,Marketplace,No
TXN-000016,2024-12-17,2024,12,2024-12,CUST-00875,West,Furniture,Cabinet,12,197.98,0.1272,2073.56,1547.49,526.07,0.2537,Bank Transfer,Online,No
TXN-000017,2024-04-13,2024,4,2024-04,CUST-00622,North,Electronics,Printer,2,200.2,0.0236,390.95,316.84,74.11,0.1896,Cash,Online,No
TXN-000018,2023-04-27,2023,4,2023-04,CUST-00497,West,Accessories,Keyboard,9,53.55,0.35,313.27,330.26,-16.99,-0.0542,Credit Card,Online,No
TXN-000019,2025-02-04,2025,2,2025-02,CUST-01759,North,Office Supplies,Paper Pack,9,11.39,0.0209,100.37,57.83,42.54,0.4238,Bank Transfer,Online,No
TXN-000020,2024-02-15,2024,2,2024-02,CUST-01160,North,Accessories,Webcam,3,84.24,0.0402,242.56,196.86,45.7,0.1884,Bank Transfer,Marketplace,No
TXN-000021,2024-04-01,2024,4,2024-04,CUST-02070,South,Furniture,Bookshelf,3,130.15,0.1292,340.0,321.62,18.38,0.0541,Cash,Marketplace,No
TXN-000022,2023-12-05,2023,12,2023-12,CUST-02094,North,Furniture,Desk,3,321.31,0.0743,892.31,736.7,155.61,0.1744,Upi,Marketplace,No
TXN-000023,2023-06-16,2023,6,2023-06,CUST-01346,East,Electronics,Monitor,5,257.3,0.0174,1264.11,724.22,539.89,0.4271,Upi,Marketplace,Yes
TXN-000024,2025-04-25,2025,4,2025-04,CUST-00528,North,Office Supplies,Paper Pack,4,11.76,0.246,35.47,28.0,7.47,0.2106,Bank Transfer,Store,No
TXN-000025,2024-12-13,2024,12,2024-12,CUST-00280,North,Office Supplies,Pens,10,3.38,0.166,28.19,21.28,6.91,0.2451,Cash,Marketplace,No
TXN-000026,2024-08-10,2024,8,2024-08,CUST-02404,East,Furniture,Bookshelf,13,149.49,0.2296,1497.17,1315.15,182.02,0.1216,Debit Card,Online,No
