Transaction_ID,Transaction_Date,Customer_ID,Region,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method,Sales_Channel,Returned
TXN-000001,2023-03-23,CUST-01751,West,Furniture,Bookshelf,12,150.58,0.058,1702.04,1116.41,585.63,UPI,Store,No
TXN-000002,2024-12-06,CUST-00673,North,Accessories,Keyboard,7,51.25,0.1474,305.84,290.0,15.84,Credit Card,Online,No
TXN-000003,2024-08-19,CUST-02494,South,Accessories,Webcam,1,72.57,0.0786,66.87,54.11,12.76,UPI,Online,No
TXN-000004,2024-02-05,CUST-01524,South,Electronics,Monitor,4,263.54,0.1098,938.39,822.99,115.4,Credit Card,Store,No
TXN-000005,2024-01-30,CUST-01925,West,Electronics,Tablet,6,412.66,0.0674,2309.05,1562.07,746.98,Debit Card,Online,No
TXN-000006,2025-02-22,CUST-00858,West,Office Supplies,Paper Pack,9,12.52,0.02,110.44,82.29,28.16,Debit Card,Store,No
TXN-000007,2023-03-20,CUST-01658,East,Furniture,Conference Table,3,513.0,0.096,1391.2,1151.98,239.22,,Online,Yes
TXN-000008,2024-09-27,CUST-01642,North,Electronics,Headphones,8,90.89,0.1508,617.49,561.88,55.61,Cash,Marketplace,No
TXN-000009,2023-07-03,CUST-01493,South,Electronics,Headphones,12,88.32,0.0968,957.22,804.47,152.75,Debit Card,Online,No
TXN-000010,2023-03-27,CUST-01480,North,Electronics,Printer,6,196.98,0.2968,831.06,745.38,85.68,Credit Card,Online,No
TXN-000011,2024-04-25,CUST-01758,West,Furniture,Office Chair,3,177.78,0.1566,449.83,404.33,45.5,Bank Transfer,Online,No
TXN-000012,2025-06-08,CUST-02495,North,Electronics,Monitor,10,241.07,0.081,2215.48,1989.42,226.05,Cash,Online,No
TXN-000013,2024-11-02,CUST-02173,North,Office Supplies,Notebook,9,9.07,0.142,70.06,69.46,0.61,Debit Card,Online,No
TXN-000014,2024-11-25,CUST-00778,east,Furniture,Cabinet,6,238.31,0.1835,1167.52,947.71,219.81,Cash,Online,No
TXN-000015,2024-10-16,CUST-02223,South,Furniture,Desk,12,299.66,0.0478,3423.94,2434.18,989.76,Debit Card,Marketplace,No
TXN-000016,2024-12-17,CUST-00875,West,Furniture,Cabinet,12,197.98,0.1272,2073.61,1547.49,526.12,Bank Transfer,Online,No
TXN-000017,2024-04-13,CUST-00622,North,Electronics,Printer,2,200.2,0.0236,390.95,316.84,74.12,Cash,Online,No
TXN-000018,2023-04-27,CUST-00497,West,Accessories,Keyboard,9,53.55,0.35,313.26,330.26,-17.0,Credit Card,Online,No
TXN-000019,2025-02-04,CUST-01759,North,Office Supplies,Paper Pack,9,11.39,0.0209,100.37,57.83,42.54,Bank Transfer,Online,No
TXN-000020,2024-02-15,CUST-01160,North,Accessories,Webcam,3,84.24,0.0402,242.55,196.86,45.68,Bank Transfer,Marketplace,No
TXN-000021,2024-04-01,CUST-02070,South,Furniture,Bookshelf,3,130.15,0.1292,339.99,321.62,18.37,Cash,Marketplace,No
TXN-000022,2023-12-05,CUST-02094,North,Furniture,Desk,3,321.31,0.0743,892.27,736.7,155.57,UPI,Marketplace,No
TXN-000023,2023-06-16,CUST-01346,East,Electronics,Monitor,5,257.3,0.0174,1264.11,724.22,539.89,UPI,Marketplace,Yes
TXN-000024,2025-04-25,CUST-00528,North,Office Supplies,Paper Pack,4,11.76,0.246,35.47,28.0,7.47,Bank Transfer,Store,No
TXN-000025,2024-12-13,CUST-00280,North,Office Supplies,Pens,10,3.38,0.166,28.18,21.28,6.9,Cash,Marketplace,No
TXN-000026,2024-08-10,CUST-02404,East,Furniture,Bookshelf,13,149.49,0.2296,1497.11,1315.15,181.97,Debit Card,Online,No
TXN-000027,2024-01-03,CUST-00768,North,Electronics,Tablet,7,426.06,0.0249,2908.04,2437.58,470.46,UPI,Store,No
TXN-000028,2025-01-20,CUST-00033,East,Electronics,Monitor,12,274.76,0.0795,3034.95,2591.95,443.0,Debit Card,Online,No
TXN-000029,2024-05-12,CUST-00993,East,Electronics,Headphones,8,98.67,0.075,730.15,543.98,186.17,Debit Card,Online,No
TXN-000030,2024-02-09,CUST-02013,North,Furniture,Bookshelf,14,164.62,0.35,1498.03,1708.0,-209.96,Cash,Store,No
TXN-000031,2024-02-15,CUST-00229,West,Office Supplies,Paper Pack,6,10.04,0.0903,54.77,48.21,6.57,Bank Transfer,Store,No
TXN-000032,2023-07-27,,South,Accessories,USB Hub,11,34.34,,360.03,295.71,64.32,upi,Online,No
TXN-000033,2023-03-26,CUST-01040,South,Electronics,Printer,12,252.08,0.1626,2533.14,2349.91,183.24,Debit Card,Marketplace,No
TXN-000034,2024-05-20,CUST-02264,North,Electronics,Monitor,13,282.05,0.0236,3580.09,2128.67,1451.42,bank transfer,Online,No
TXN-000035,2025-03-20,CUST-01122,West,Electronics,Tablet,6,371.16,0.1223,1954.58,1735.8,218.78,Credit Card,Store,Yes
TXN-000036,2023-02-28,CUST-01305,East,Electronics,Printer,5,211.48,0.0574,996.68,874.9,121.77,UPI,Store,Yes
TXN-000037,2025-02-21,CUST-01143,South,Office Supplies,Paper Pack,1,10.99,0.0447,10.5,6.18,4.33,UPI,Online,No
TXN-000038,2025-01-24,CUST-01703, WEST,Electronics,Monitor,9,251.02,0.1421,1938.14,1444.47,493.67,Credit Card,Online,No
TXN-000039,2023-09-10,CUST-00178, SOUTH ,Accessories,Keyboard,8,63.8,0.0128,503.88,426.67,77.21,Debit Card,Store,No
TXN-000040,2024-07-30,CUST-00124,West,Accessories,Webcam,6,75.37,0.1004,406.81,302.52,104.29,Bank Transfer,Marketplace,Yes
TXN-000041,2023-05-31,CUST-01456,East,Furniture,Bookshelf,4,131.76,0.2482,396.21,350.78,45.43,Bank Transfer,Online,No
TXN-000042,2024-11-22,CUST-00986,West,Accessories,USB Hub,13,32.86,0.1334,370.15,313.59,56.56,Cash,Online,No
TXN-000043,2024-09-30,CUST-00419,West,Office Supplies,Paper Pack,14,12.0,0.1001,151.19,119.6,31.59,UPI,Store,No
TXN-000044,2023-11-20,CUST-01927,West,Accessories,Webcam,14,68.52,0.3492,624.27,773.7,-149.43,Cash,Online,No
TXN-000045,2023-03-03,CUST-01874,North,Electronics,Laptop,7,871.3,0.1089,5434.84,3408.02,2026.81,Cash,Online,No
TXN-000046,2025-06-04,CUST-00273,West,Accessories,Desk Lamp,11,42.21,0.0626,435.26,354.48,80.78,Bank Transfer,Marketplace,No
TXN-000047,2024-02-11,CUST-00461,West,Electronics,Monitor,12,252.38,0.1137,2684.28,2041.46,642.81,Credit Card,Online,No
TXN-000048,2025-03-25,CUST-01956,East,Furniture,Desk,11,299.88,0.2334,2528.85,2279.41,249.44,Bank Transfer,Marketplace,No
TXN-000049,2024-09-10,CUST-01196,South,Accessories,Mouse,5,24.26,0.2348,92.84,85.28,7.56,UPI,Online,Yes
TXN-000050,2024-12-10,CUST-00771,West,Furniture,Desk,13,338.02,0.1178,3876.5,3507.09,369.41,Debit Card,Online,No
TXN-000051,2024-11-24,CUST-01324,North,Electronics,Printer,10,214.99,0.1512,1824.71,1557.54,267.18,Credit Card,Online,No
TXN-000052,2023-06-27,CUST-00883,South,Electronics,Tablet,2,396.44,0.2326,608.47,496.78,111.69,Credit Card,Store,No
TXN-000053,2023-11-28,CUST-00235,East,Electronics,Headphones,3,103.61,0.1043,278.4,201.9,76.5,Credit Card,Marketplace,No
TXN-000054,2024-03-01,CUST-01619,North,Furniture,Bookshelf,7,162.76,0.079,1049.35,923.25,126.09,Cash,Online,No
TXN-000055,2024-03-29,CUST-01741,East,Furniture,Desk,14,319.97,0.1473,3819.6,3013.3,806.3,Bank Transfer,Online,No
TXN-000056,2023-02-09,CUST-00196,North,Office Supplies,Stapler,11,8.81,0.1198,85.34,75.31,10.03,Bank Transfer,Online,No
TXN-000057,2024-05-13,CUST-00624,East,Accessories,Keyboard,10,62.76,0.1409,539.1,466.95,72.16,Cash,Store,No
TXN-000058,2023-05-21,CUST-01562,West,Electronics,Headphones,9,107.21,0.1288,840.59,616.57,224.02,Debit Card,Online,No
TXN-000059,2024-11-08,CUST-01894,South,Accessories,Desk Lamp,13,39.55,0.0739,476.09,312.64,163.45,UPI,Marketplace,No
TXN-000060,2024-09-14,CUST-02285,East,Office Supplies,Notebook,8,8.76,,52.07,53.54,-1.47,bank transfer,Store,No
TXN-000061,2025-04-21,CUST-01510,North,Office Supplies,Notebook,6,9.1,0.0465,52.08,38.83,13.25,Debit Card,Online,No
TXN-000062,2024-11-10,CUST-00235,West,Office Supplies,Stapler,6,9.47,0.1831,46.43,44.34,2.09,Bank Transfer,Online,No
TXN-000063,2023-12-01,CUST-00882,West,Accessories,Mouse,8,24.07,0.1483,163.98,149.12,14.86,Cash,Store,No
TXN-000064,2025-06-01,CUST-00633,North,Electronics,Headphones,4,92.37,0.0869,337.38,243.53,93.85,UPI,Store,No
TXN-000065,2024-01-10,CUST-02470,East,Office Supplies,Paper Pack,14,13.64,0.0666,178.28,164.11,14.17,Cash,Online,No
TXN-000066,2023-10-25,CUST-00035,South,Accessories,Webcam,13,74.68,0.2608,717.64,812.23,-94.58,Debit Card,Online,No
TXN-000067,2025-04-05,CUST-00939,East,,Stapler,6,9.39,0.2601,41.7,38.84,2.86,Bank Transfer,Marketplace,No
TXN-000068,2023-12-04,CUST-01295,East,Electronics,Monitor,11,308.52,0.35,2205.93,2237.43,-31.5,UPI,Online,No
TXN-000069,2023-03-11,CUST-00749,,Office Supplies,Folders,11,5.52,0.0226,59.31,41.59,17.72,Credit Card,Store,No
TXN-000070,2024-03-04,,East,Office Supplies,Folders,9,5.96,0.0343,51.77,31.8,19.97,Debit Card,Online,No
TXN-000071,2024-12-26,CUST-00329,North,Electronics,Monitor,2,263.95,0.0201,517.28,388.48,128.8,UPI,Online,No
TXN-000072,2023-06-22,CUST-02316,South,Office Supplies,Stapler,2,8.85,0.2283,13.66,14.84,-1.19,Cash,Online,No
TXN-000073,2024-02-27,CUST-01001,West,Accessories,USB Hub,11,29.85,0.1686,272.95,200.35,72.59,Debit Card,Online,No
TXN-000074,2023-04-29,CUST-00921,North,Furniture,Desk,2,345.7,0.1223,606.85,533.3,73.55,UPI,Marketplace,No
TXN-000075,2024-09-18,CUST-02309,East,Electronics,Printer,12,197.38,0.1656,1976.24,1747.79,228.45,Bank Transfer,Online,No
TXN-000076,2024-03-09,CUST-00372,North,Office Supplies,Paper Pack,7,11.26,0.1497,67.03,47.48,19.55,UPI,Store,No
TXN-000077,2023-10-29,CUST-01173,West,Office Supplies,Paper Pack,12,11.66,0.0428,133.88,98.69,35.19,Cash,Online,No
TXN-000078,2023-07-26,CUST-00073,East,Furniture,Cabinet,2,225.76,0.1558,381.18,385.8,-4.62,Cash,Online,No
TXN-000079,2024-05-29,CUST-01279,South,Office Supplies,Notebook,6,7.92,0.1681,39.54,30.62,8.92,Bank Transfer,Marketplace,No
TXN-000080,2024-09-02,CUST-00813,North,Furniture,Conference Table,3,646.26,0.0811,1781.6,1639.76,141.85,Cash,Store,No
TXN-000081,2025-05-07,CUST-01851,South,Accessories,Keyboard,7,60.14,0.1818,344.45,296.81,47.63,upi,Marketplace,No
TXN-000082,2024-02-03,CUST-01281,West,Office Supplies,Pens,2,3.92,0.1759,6.46,6.53,-0.07,upi,Online,No
TXN-000083,2023-05-27,CUST-01564,South,Accessories,USB Hub,4,33.33,0.0735,123.51,112.77,10.74,Bank Transfer,Store,No
TXN-000084,2025-01-29,CUST-02252,South,Furniture,Conference Table,5,593.84,0.1201,2612.52,1964.37,648.15,Credit Card,Online,No
TXN-000085,2024-07-28,CUST-02377,East,Electronics,Headphones,8,88.21,0.1097,628.22,547.68,80.55,Debit Card,Online,No
TXN-000086,2024-09-30,CUST-00542,South,Office Supplies,Paper Pack,1,11.97,0.1019,10.75,9.02,1.73,Credit Card,Store,No
TXN-000087,2023-03-30,CUST-01256,,Electronics,Headphones,5,87.81,0.35,285.38,318.92,-33.54,,Store,No
TXN-000088,2023-10-12,CUST-01954,South,Furniture,Desk,11,,0.19,3336.23,2563.85,772.38,Cash,Online,No
TXN-000089,2024-12-01,CUST-00319,North,Electronics,Tablet,6,424.3,0.1353,2201.33,1852.49,348.84,Cash,Online,Yes
